,usuario,Finicio,Ffinal,diferencia_entre_fechas,frecuencia_compra,desviacion_estandar,cantidad_elementos
1884,16663.0,2022-11-11,2023-02-12,"[13, 21, 12, 9, 13, 7, 9, 9]",11.625,4.090767042988393,8
1885,16664.0,2022-11-10,2022-12-27,"[15, 28, 4]",15.666666666666666,9.809292646374773,3
1886,16671.0,2022-11-09,2022-11-09,[],,,0
1887,16672.0,2023-06-24,2024-03-20,[270],270.0,0.0,1
1888,16679.0,2022-11-09,2022-11-09,[],,,0
1889,16680.0,2022-11-10,2023-11-14,"[291, 78]",184.5,106.5,2
1890,16684.0,2022-11-10,2022-11-10,[],,,0
1891,16689.0,2022-11-10,2023-02-19,"[15, 27, 4, 55]",25.25,19.00493356999703,4
1892,16695.0,2023-02-21,2023-10-03,"[34, 148, 42]",74.66666666666667,51.957247382396574,3
1893,16697.0,2022-11-10,2022-11-10,[],,,0
1894,16701.0,2022-11-10,2022-11-10,[],,,0
1895,16702.0,2023-06-11,2024-06-06,[361],361.0,0.0,1
1896,16715.0,2022-11-17,2022-11-28,[11],11.0,0.0,1
1897,16720.0,2022-11-10,2022-11-10,[],,,0
1898,16722.0,2022-11-10,2022-11-10,[],,,0
1899,16726.0,2022-11-11,2022-11-11,[],,,0
1900,16734.0,2022-11-11,2022-11-11,[],,,0
1901,16738.0,2022-11-11,2022-11-11,[],,,0
1902,16741.0,2022-12-08,2023-08-15,[250],250.0,0.0,1
1903,16745.0,2022-11-11,2022-11-11,[],,,0
1904,16750.0,2022-11-11,2022-11-11,[],,,0
1905,16751.0,2022-11-11,2022-11-11,[],,,0
1906,16753.0,2022-11-14,2022-11-14,[],,,0
1907,16755.0,2022-11-16,2023-03-12,"[7, 24, 1, 25, 15, 44]",19.333333333333332,13.960261060914616,6
1908,16760.0,2022-12-23,2022-12-23,[],,,0
1909,16761.0,2022-11-11,2022-11-11,[],,,0
1910,16768.0,2022-11-12,2022-11-12,[],,,0
1911,16772.0,2022-11-12,2022-11-12,[],,,0
1912,16776.0,2022-11-12,2022-11-12,[],,,0
1913,16778.0,2022-11-12,2022-11-12,[],,,0
1914,16781.0,2022-11-18,2022-11-18,[],,,0
1915,16782.0,2022-11-12,2022-11-12,[],,,0
1916,16784.0,2022-12-04,2023-11-26,"[15, 10, 196, 136]",89.25,79.6472692563907,4
1917,16792.0,2023-06-19,2023-07-29,[40],40.0,0.0,1
1918,16799.0,2022-11-12,2022-11-12,[],,,0
1919,16800.0,2022-12-31,2023-03-03,[62],62.0,0.0,1
1920,16804.0,2022-11-25,2022-12-03,[8],8.0,0.0,1
1921,16806.0,2022-11-25,2023-03-04,"[5, 13, 2, 4, 1, 9, 1, 6, 11, 3, 6, 5, 32, 1]",7.071428571428571,7.787024791410441,14
1922,16815.0,2023-02-09,2023-07-13,[154],154.0,0.0,1
1923,16820.0,2023-02-12,2023-02-12,[],,,0
1924,16821.0,2023-01-30,2023-01-30,[],,,0
1925,16823.0,2024-07-03,2024-07-03,[],,,0
1926,16834.0,2022-11-13,2022-11-13,[],,,0
1927,16850.0,2022-11-14,2022-11-14,[],,,0
1928,16858.0,2022-11-19,2022-11-19,[],,,0
1929,16859.0,2023-08-01,2024-06-15,"[125, 194]",159.5,34.5,2
1930,16863.0,2022-11-14,2022-11-14,[],,,0
1931,16868.0,2022-11-14,2022-11-14,[],,,0
1932,16875.0,2022-11-15,2023-10-24,"[110, 129, 104]",114.33333333333333,10.656244908763854,3
1933,16887.0,2022-11-15,2022-11-15,[],,,0
1934,16891.0,2022-11-16,2023-10-12,"[14, 11, 163, 142]",82.5,70.40063920164361,4
1935,16897.0,2023-03-23,2023-03-23,[],,,0
1936,16903.0,2022-11-15,2022-11-15,[],,,0
1937,16905.0,2024-06-16,2024-06-16,[],,,0
1938,16907.0,2022-12-12,2022-12-12,[],,,0
1939,16910.0,2022-11-16,2022-11-16,[],,,0
1940,16911.0,2022-11-16,2024-10-14,"[56, 157, 53, 23, 77, 88, 1, 8, 14, 33, 28, 8, 14, 1, 37, 19, 75, 6]",38.77777777777778,39.09753552272339,18
1941,16914.0,2022-11-16,2024-01-04,"[32, 128, 254]",138.0,90.9065454189081,3
1942,16922.0,2023-01-25,2023-01-25,[],,,0
1943,16927.0,2023-01-13,2023-06-14,[152],152.0,0.0,1
1944,16930.0,2023-06-19,2023-06-19,[],,,0
1945,16931.0,2022-11-29,2023-08-16,"[242, 18]",130.0,112.0,2
1946,16956.0,2024-07-16,2024-07-19,[3],3.0,0.0,1
1947,16975.0,2023-08-19,2023-08-19,[],,,0
1948,16982.0,2023-02-21,2023-03-31,[38],38.0,0.0,1
1949,16983.0,2022-11-17,2024-06-16,"[18, 23, 82, 26, 84, 154, 6, 184]",72.125,62.55085431071266,8
1950,16986.0,2022-11-17,2023-01-06,"[13, 20, 10, 7]",12.5,4.8218253804964775,4
1951,16988.0,2022-12-26,2022-12-26,[],,,0
1952,16994.0,2022-11-18,2023-02-17,[91],91.0,0.0,1
1953,17005.0,2022-11-18,2022-11-18,[],,,0
